Model Name,USGIN_Keyword,FeatureType or Layer,ExcelDataTab,NamespaceURI,FeatureURI,keywords
Abandoned Mines,usgincm:Abandoned Mines,AbandonedMine,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/mines/0.3,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/mines/0.3,mineral resource|shaft|adit|tunnel|hazard
Active Fault/Quaternary Fault,usgincm:Active Fault1.2,ActiveFault,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/activefault/1.2,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/activefault/1.2,fault|movement|movement sense|slip rate|slip interval|geologic|geologic age|faults|cross-section|geochronology|active fault
Aqueous Chemistry,usgincm:Aqueous Chemistry.BaseMetals,BaseMetals,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/basemetals,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|iron|nickel|lead|zinc|copper
Aqueous Chemistry,usgincm:Aqueous Chemistry.BaseMetals1.10,BaseMetals,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/basemetals,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|iron|nickel|lead|zinc|copper
Aqueous Chemistry,usgincm:Aqueous Chemistry.CommonAnalytes,CommonAnalytes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/commonanalytes,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid
Aqueous Chemistry,usgincm:Aqueous Chemistry.CommonAnalytes1.10,CommonAnalytes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/commonanalytes,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid
Aqueous Chemistry,usgincm:Aqueous Chemistry.FreeGas,FreeGas,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/freegas,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid
Aqueous Chemistry,usgincm:Aqueous Chemistry.FreeGas1.10,FreeGas,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/freegas,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid
Aqueous Chemistry,usgincm:Aqueous Chemistry.GasIsotopes,GasIsotopes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/gasisotopes,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|isotope
Aqueous Chemistry,usgincm:Aqueous Chemistry.GasIsotopes1.10,GasIsotopes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/gasisotopes,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|isotope
Aqueous Chemistry,usgincm:Aqueous Chemistry.IsotopesDissolved,IsotopesDissolved,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/isotopesdissolved,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|isotope
Aqueous Chemistry,usgincm:Aqueous Chemistry.IsotopesDissolved1.10,IsotopesDissolved,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/isotopesdissolved,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|isotope
Aqueous Chemistry,usgincm:Aqueous Chemistry.MajorDissolvedConstituents,MajorDissolvedConstituents,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/majordissolvedconstituents,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|soluble
Aqueous Chemistry,usgincm:Aqueous Chemistry.MajorDissolvedConstituents1.10,MajorDissolvedConstituents,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/majordissolvedconstituents,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|soluble
Aqueous Chemistry,usgincm:Aqueous Chemistry.MineralRecoveryBrine,MineralRecoveryBrine,draft,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/draft,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/draft/mineralrecoverybrine,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|soluble|by product|economics
Aqueous Chemistry,usgincm:Aqueous Chemistry.MinorDissolvedConstituents,MinorDissolvedConstituents,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.9/minordissolvedconstituents,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|soluble
Aqueous Chemistry,usgincm:Aqueous Chemistry.MinorDissolvedConstituents1.10,MinorDissolvedConstituents,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/aqueouschemistry/1.10/minordissolvedconstituents,spring|geothermal|chemical analysis|well|water chemistry|geothermal fluid|soluble
